CustomerID,Recency,Frequency,Monetary,Cluster
12346.0,326,12,207.4,0
12347.0,2,8,554.57,3
12348.0,75,5,193.1,3
12349.0,19,4,1480.44,3
12350.0,310,1,65.3,0
12351.0,375,1,49.46,0
12352.0,36,10,1408.71,3
12353.0,204,2,63.08,3
12354.0,232,1,261.22,3
12355.0,214,2,107.43,3
12356.0,23,6,448.3,3
12357.0,33,3,1834.31,3
12358.0,2,5,413.34,3
12359.0,58,10,2676.5,3
12360.0,52,8,696.13,3
12361.0,287,4,112.25,0
12362.0,3,11,1178.29,3
12363.0,110,2,53.17,3
12364.0,8,4,162.37,3
12365.0,291,2,377.31,0
12366.0,634,1,5.07,0
12367.0,4,1,35.2,3
12368.0,628,1,79.05,0
12369.0,413,3,292.85,0
12370.0,51,7,688.26,3
12371.0,45,5,665.9300000000001,3
12372.0,72,3,156.07,3
12373.0,311,3,236.0,0
12374.0,25,4,288.72,3
12375.0,11,2,117.52000000000001,3
12376.0,390,2,104.4,0
12377.0,315,4,416.52,0
12378.0,130,2,1017.41,3
12379.0,82,4,235.55,3
12380.0,22,11,2740.82,3
12381.0,5,5,407.44,3
12383.0,185,5,305.61,3
12384.0,29,2,212.74,3
12385.0,379,1,239.25,0
12386.0,338,2,23.91,0
12387.0,415,1,24.86,0
12388.0,16,8,412.41,3
12389.0,403,3,130.06,0
12390.0,80,1,127.9,3
12391.0,22,6,1011.57,3
12392.0,591,1,35.25,0
12393.0,72,6,265.35,3
12394.0,64,2,91.00999999999999,3
12395.0,19,15,872.38,3
12396.0,674,1,149.46,0
12397.0,36,2,437.0,3
12398.0,46,1,169.38,3
12399.0,119,7,224.56,3
12400.0,414,1,32.05,0
12401.0,303,1,48.4,0
12402.0,323,6,231.35,0
12403.0,50,2,63.93000000000001,3
12404.0,682,1,63.24,0
12405.0,149,1,191.39000000000001,3
12406.0,22,5,419.96,3
12407.0,50,5,251.59,3
12408.0,33,8,490.83,3
12409.0,79,7,854.36,3
12410.0,309,3,240.59,0
12411.0,410,1,74.7,0
12412.0,75,6,326.11,3
12413.0,67,4,301.04,3
12414.0,217,6,457.8,3
12415.0,24,28,2749.1,1
12416.0,657,1,16.88,0
