CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,326,12,207.4,0,Low-Value Inactive
12347.0,2,8,554.57,3,Mid-Value
12348.0,75,5,193.1,3,Mid-Value
12349.0,19,4,1480.44,3,Mid-Value
12350.0,310,1,65.3,0,Low-Value Inactive
12351.0,375,1,49.46,0,Low-Value Inactive
12352.0,36,10,1408.71,3,Mid-Value
12353.0,204,2,63.08,3,Mid-Value
12354.0,232,1,261.22,3,Mid-Value
12355.0,214,2,107.43,3,Mid-Value
12356.0,23,6,448.3,3,Mid-Value
12357.0,33,3,1834.31,3,Mid-Value
12358.0,2,5,413.34,3,Mid-Value
12359.0,58,10,2676.5,3,Mid-Value
12360.0,52,8,696.13,3,Mid-Value
12361.0,287,4,112.25,0,Low-Value Inactive
12362.0,3,11,1178.29,3,Mid-Value
12363.0,110,2,53.17,3,Mid-Value
12364.0,8,4,162.37,3,Mid-Value
12365.0,291,2,377.31,0,Low-Value Inactive
12366.0,634,1,5.07,0,Low-Value Inactive
12367.0,4,1,35.2,3,Mid-Value
12368.0,628,1,79.05,0,Low-Value Inactive
12369.0,413,3,292.85,0,Low-Value Inactive
12370.0,51,7,688.26,3,Mid-Value
12371.0,45,5,665.9300000000001,3,Mid-Value
12372.0,72,3,156.07,3,Mid-Value
12373.0,311,3,236.0,0,Low-Value Inactive
12374.0,25,4,288.72,3,Mid-Value
12375.0,11,2,117.52000000000001,3,Mid-Value
12376.0,390,2,104.4,0,Low-Value Inactive
12377.0,315,4,416.52,0,Low-Value Inactive
12378.0,130,2,1017.41,3,Mid-Value
12379.0,82,4,235.55,3,Mid-Value
12380.0,22,11,2740.82,3,Mid-Value
12381.0,5,5,407.44,3,Mid-Value
12383.0,185,5,305.61,3,Mid-Value
12384.0,29,2,212.74,3,Mid-Value
12385.0,379,1,239.25,0,Low-Value Inactive
12386.0,338,2,23.91,0,Low-Value Inactive
12387.0,415,1,24.86,0,Low-Value Inactive
12388.0,16,8,412.41,3,Mid-Value
12389.0,403,3,130.06,0,Low-Value Inactive
12390.0,80,1,127.9,3,Mid-Value
12391.0,22,6,1011.57,3,Mid-Value
12392.0,591,1,35.25,0,Low-Value Inactive
12393.0,72,6,265.35,3,Mid-Value
12394.0,64,2,91.00999999999999,3,Mid-Value
12395.0,19,15,872.38,3,Mid-Value
12396.0,674,1,149.46,0,Low-Value Inactive
12397.0,36,2,437.0,3,Mid-Value
12398.0,46,1,169.38,3,Mid-Value
12399.0,119,7,224.56,3,Mid-Value
12400.0,414,1,32.05,0,Low-Value Inactive
12401.0,303,1,48.4,0,Low-Value Inactive
12402.0,323,6,231.35,0,Low-Value Inactive
12403.0,50,2,63.93000000000001,3,Mid-Value
12404.0,682,1,63.24,0,Low-Value Inactive
12405.0,149,1,191.39000000000001,3,Mid-Value
12406.0,22,5,419.96,3,Mid-Value
12407.0,50,5,251.59,3,Mid-Value
12408.0,33,8,490.83,3,Mid-Value
12409.0,79,7,854.36,3,Mid-Value
12410.0,309,3,240.59,0,Low-Value Inactive
12411.0,410,1,74.7,0,Low-Value Inactive
12412.0,75,6,326.11,3,Mid-Value
12413.0,67,4,301.04,3,Mid-Value
12414.0,217,6,457.8,3,Mid-Value
12415.0,24,28,2749.1,1,High-Value Loyal
12416.0,657,1,16.88,0,Low-Value Inactive
12417.0,3,20,2012.31,3,Mid-Value
12418.0,113,4,341.23,3,Mid-Value
12419.0,386,2,126.09,0,Low-Value Inactive
12420.0,64,1,136.51,3,Mid-Value
12421.0,16,6,310.12,3,Mid-Value
12422.0,96,17,1750.57,3,Mid-Value
12423.0,1,10,490.09,3,Mid-Value
12424.0,163,4,201.4,3,Mid-Value
12425.0,78,2,218.79,3,Mid-Value
12426.0,195,2,273.91,3,Mid-Value
12427.0,22,3,142.26,3,Mid-Value
12428.0,26,9,1360.46,3,Mid-Value
12429.0,9,8,483.93,3,Mid-Value
12430.0,43,1,68.48,3,Mid-Value
12431.0,36,27,1466.6200000000001,3,Mid-Value
12432.0,43,5,1139.49,3,Mid-Value
12433.0,1,10,1258.38,3,Mid-Value
12434.0,85,3,251.75,3,Mid-Value
12435.0,80,6,417.66,3,Mid-Value
12436.0,100,1,84.28,3,Mid-Value
12437.0,2,39,1898.3799999999999,1,High-Value Loyal
12438.0,14,2,381.7,3,Mid-Value
12439.0,683,2,263.16,0,Low-Value Inactive
12440.0,462,2,174.34,0,Low-Value Inactive
12441.0,367,1,40.71,0,Low-Value Inactive
12442.0,3,1,40.08,3,Mid-Value
12443.0,732,1,123.28,0,Low-Value Inactive
